No.,日付,品名コード,品名,数量,単価,金額,分類コード,分類名,備考
148,20250505,1001,３種の贅沢ピーカ,2,1160,2320,2002,洋菓子,箱入り
141,20250505,1003,sagadesTｼｬﾂ     ,2,2200,4400,2006,衣料,Tシャツ
45,20250505,1004,ｱｲｽｸﾘｰﾑ         ,7,210,1470,2002,洋菓子,
125,20250505,1005,あん入りのんき  ,1,220,220,2003,和菓子,お菓子(ちょい食べ)
126,20250505,1006,いかすみｺﾞｰﾌﾚ   ,5,648,3240,2002,洋菓子,箱入り
135,20250505,1007,いかせん        ,29,650,18850,2003,和菓子,箱入り
84,20250505,1008,いかにゃんぷち  ,4,660,2640,2004,雑貨類,キーホルダー
172,20250505,1011,イカマスコットST,1,1760,1760,2004,雑貨類,ぬいぐるみ
137,20250505,1013,いか鉄ちゃん    ,6,980,5880,2007,食品,
68,20250505,1014,いか鉄板焼き    ,5,540,2700,2007,食品,
139,20250505,1016,うまかぁ~いりこ ,3,540,1620,2007,食品,
138,20250505,1017,うまかぁ~のり天 ,4,540,2160,2007,食品,
156,20250505,1019,お茶ｲﾀﾞｰ        ,3,216,648,2008,飲料,
9,20250505,1020,かしわ餅2個入り ,12,360,4320,2003,和菓子,
14,20250505,1022,ｶｯﾌﾟ(高野路窯   ,2,1580,3160,2005,生活雑貨,
155,20250505,1023,かぼすｻﾜｰ       ,8,216,1728,2008,飲料,
169,20250505,1024,からつ茶団子    ,8,870,6960,2003,和菓子,唐津関連
161,20250505,1025,ｶﾙｯﾃﾍﾞｲｸ        ,4,691,2764,2002,洋菓子,箱入り
20,20250505,1027,ｷｰﾎﾙﾀﾞｰ         ,8,300,2400,2004,雑貨類,キーホルダー
102,20250505,1029,ｷｰﾎﾙﾀﾞｰ№5      ,3,550,1650,2004,雑貨類,キーホルダー
101,20250505,1030,ｷｬﾗｸﾀｰ№1       ,2,1100,2200,2004,雑貨類,キーホルダー
99,20250505,1031,ｷｬﾗｸﾀｰ№5       ,1,550,550,2004,雑貨類,キーホルダー
100,20250505,1035,ｷｬﾗｸﾀｰ№8       ,2,880,1760,2004,雑貨類,キーホルダー
54,20250505,1036,ぎゅぎゅっと缶ﾊﾞ,1,550,550,2004,雑貨類,缶バッチ
55,20250505,1036,ぎゅぎゅ缶ﾊﾞｯﾁｿﾞ,1,550,550,2004,雑貨類,缶バッチ
56,20250505,1036,ぎゅぎゅ缶ﾊﾞｯﾁｿﾞ,1,550,550,2004,雑貨類,缶バッチ
152,20250505,1037,ｷﾝｾﾝｻｲﾀﾞｰ       ,1,216,216,2008,飲料,
153,20250505,1038,ｷﾝｾﾝﾗﾑﾈ         ,5,195,975,2008,飲料,
17,20250505,1039,ぐい呑(大杉)    ,1,1650,1650,2005,生活雑貨,
71,20250505,1041,くじらｼﾞｬ-ｷ-    ,6,432,2592,2007,食品,
94,20250505,1043,ｸﾘｽﾀﾙｽﾄﾗ        ,2,1100,2200,2004,雑貨類,ストラップ
69,20250505,1044,ｸﾚしんﾑﾂｺﾞﾛｳ    ,3,550,1650,2004,雑貨類,グッズ
159,20250505,1045,ｸﾚﾖﾝしんちゃんｸｯ,2,760,1520,2002,洋菓子,箱入り
35,20250505,1046,くんちクッキー８,1,600,600,2002,洋菓子,箱入り
93,20250505,1048,こまねき        ,1,800,800,2009,装飾品,置物
142,20250505,1049,ｻｶﾞﾉﾌｪｲｽTｼｬﾂ    ,2,2200,4400,2006,衣料,Tシャツ
81,20250505,1052,ｼﾞｬｶﾞｰﾄﾞとかげPK,1,770,770,2004,雑貨類,キーホルダー
162,20250505,1053,ｼｮｺﾗしっとり    ,1,702,702,2002,洋菓子,箱入り
154,20250505,1056,ｽﾏｯｸｺﾞｰﾙﾄﾞ      ,10,216,2160,2008,飲料,
79,20250505,1057,ｿｯｸｽとかげｵﾚﾝｼﾞ ,1,528,528,2005,生活雑貨,
80,20250505,1057,ｿｯｸｽとかげﾚｯﾄﾞ  ,1,528,528,2005,生活雑貨,
51,20250505,1058,だがし屋さんの駄,5,300,1500,2010,駄菓子,
163,20250505,1060,ﾁｰｽﾞﾗﾝｸﾞﾄﾞｼｬ・小,3,680,2040,2002,洋菓子,箱入り
70,20250505,1062,ななやまの天然水,4,154,616,2008,飲料,
66,20250505,1064,のびしばムツゴロ,1,770,770,2004,雑貨類,ストラップ
64,20250505,1065,のびねこ佐賀ﾊﾞﾙｰ,1,770,770,2004,雑貨類,ストラップ
65,20250505,1066,のびねこ唐津城  ,3,770,2310,2004,雑貨類,唐津城関連
62,20250505,1067,のび呼子ｲｶ      ,1,770,770,2004,雑貨類,ストラップ
82,20250505,1069,ﾊﾞﾙｰﾝうさぎ     ,3,440,1320,2004,雑貨類,キーホルダー
77,20250505,1070,ﾊﾞﾙｰﾝちいかわ   ,1,440,440,2004,雑貨類,キーホルダー
76,20250505,1071,ﾊﾞﾙｰﾝとかげ     ,1,440,440,2004,雑貨類,キーホルダー
75,20250505,1072,ﾊﾞﾙｰﾝねこ       ,2,440,880,2004,雑貨類,キーホルダー
78,20250505,1073,ﾊﾞﾙｰﾝハチワレ   ,3,440,1320,2004,雑貨類,キーホルダー
171,20250505,1074,ﾊﾟﾛﾃﾞｨｽﾄｰﾝKHVOL2,2,495,990,2004,雑貨類,キーホルダー
103,20250505,1076,ひきやま№65    ,1,715,715,2004,雑貨類,曳山関連
41,20250505,1077,ひきやまTｼｬﾂ    ,3,2800,8400,2006,衣料,曳山関連
40,20250505,1081,ひきやま金獅子  ,1,1000,1000,2009,装飾品,曳山関連
1,20250505,1089,ﾌｨｯﾂｸﾞﾚｰﾌﾟ      ,1,170,170,2007,食品,ガム（ちょい食べ）
57,20250505,1090,ぷかっしゅ缶ﾊﾞｯ ,1,550,550,2004,雑貨類,缶バッチ
118,20250505,1092,ﾌﾞﾗｯｸﾓﾝﾌﾞﾗﾝｸﾗﾝﾁﾁ,4,1400,5600,2002,洋菓子,箱入り
160,20250505,1093,ﾌﾟﾚﾐｱﾑｽｲｰﾂｱｿｰﾄ  ,3,1080,3240,2002,洋菓子,箱入り
34,20250505,1095,ﾎﾟｽｶ旧唐        ,1,150,150,2004,雑貨類,唐津関連
33,20250505,1096,ﾎﾟｽｶ歴民        ,1,150,150,2004,雑貨類,唐津関連
28,20250505,1097,ﾎﾟｽﾄｶｰﾄﾞ1番     ,1,110,110,2004,雑貨類,ポストカード
29,20250505,1097,ﾎﾟｽﾄｶｰﾄﾞ2番     ,1,110,110,2004,雑貨類,ポストカード
30,20250505,1098,ﾎﾟｽﾄｶｰﾄﾞ5番     ,1,110,110,2004,雑貨類,ポストカード
27,20250505,1099,ぽっくり置物(小 ,1,1337,1337,2009,装飾品,
44,20250505,1103,ぼんてん・まる缶,2,330,660,2002,洋菓子,
132,20250505,1104,ﾏｸﾞﾈｯﾄ唐津城    ,16,495,7920,2004,雑貨類,唐津城関連
130,20250505,1105,まるぼうろ5個入 ,8,400,3200,2003,和菓子,箱入り
170,20250505,1106,ﾐﾆｶﾞﾝKH         ,4,495,1980,2004,雑貨類,キーホルダー
23,20250505,1108,ﾐﾆ飾り凧        ,1,400,400,2009,装飾品,
83,20250505,1109,むつごろうにゃん,1,660,660,2004,雑貨類,ぬいぐるみ
89,20250505,1109,むつごろうにゃん,6,990,5940,2004,雑貨類,ぬいぐるみ
74,20250505,1110,ﾗﾊﾞｰｷｰﾎﾙﾀﾞ      ,4,330,1320,2004,雑貨類,キーホルダー
