作成日時,時間,分,時間帯,都道府県,lat,long,性別,年代,車種,用途名,計
2026/05/05,8,27,8時台,長崎県,32.744839,129.873756,女性,40,普通車,自家用車,1
2026/05/05,8,27,8時台,長崎県,32.744839,129.873756,女性,30,普通車,自家用車,1
2026/05/05,8,27,8時台,長崎県,32.744839,129.873756,女性,30,普通車,自家用車,1
2026/05/05,8,28,8時台,熊本県,32.789828,130.741667,女性,50,小型車,自家用車,1
2026/05/05,8,28,8時台,熊本県,32.789828,130.741667,女性,40,小型車,自家用車,1
2026/05/05,8,43,8時台,福岡県,33.606785,130.418314,女性,30,小型車,レンタカー,1
2026/05/05,8,47,8時台,佐賀県,33.249367,130.298822,女性,20,小型車,事業用,1
2026/05/05,8,47,8時台,佐賀県,33.249367,130.298822,女性,20,小型車,事業用,1
2026/05/05,8,55,8時台,山口県,34.186121,131.4705,女性,30,普通車,自家用車,1
2026/05/05,8,55,8時台,山口県,34.186121,131.4705,女性,40,普通車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,40,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,男性,80,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,男性,80,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,60,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,50,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,50,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,30,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,女性,50,小型車,自家用車,1
2026/05/05,8,58,8時台,佐賀県,33.249367,130.298822,男性,40,小型車,自家用車,1
2026/05/05,8,59,8時台,佐賀県,33.249367,130.298822,女性,30,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,男性,70,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,女性,30,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,女性,40,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,女性,80,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,女性,40,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,男性,30,小型車,自家用車,1
2026/05/05,9,0,9時台,佐賀県,33.249367,130.298822,男性,30,小型車,自家用車,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,男性,30,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,男性,20,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,女性,30,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,男性,40,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,男性,70,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,女性,20,普通車,レンタカー,1
2026/05/05,9,1,9時台,福岡県,33.606785,130.418314,男性,30,普通車,レンタカー,1
2026/05/05,9,4,9時台,福岡県,33.606785,130.418314,男性,40,特殊用途自動車,自家用車,1
2026/05/05,9,4,9時台,福岡県,33.606785,130.418314,女性,40,特殊用途自動車,自家用車,1
2026/05/05,9,4,9時台,福岡県,33.606785,130.418314,男性,40,特殊用途自動車,自家用車,1
2026/05/05,9,4,9時台,福岡県,33.606785,130.418314,男性,40,特殊用途自動車,自家用車,1
2026/05/05,9,5,9時台,福岡県,33.606785,130.418314,女性,30,小型車,レンタカー,1
2026/05/05,9,5,9時台,福岡県,33.606785,130.418314,女性,30,小型車,レンタカー,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,女性,50,小型車,自家用車,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,男性,30,小型車,自家用車,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,女性,30,小型車,自家用車,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,男性,30,小型車,自家用車,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,男性,30,小型車,自家用車,1
2026/05/05,9,6,9時台,福岡県,33.606785,130.418314,女性,70,小型車,自家用車,1
2026/05/05,9,7,9時台,福岡県,33.606785,130.418314,女性,30,小型車,事業用,1
2026/05/05,9,7,9時台,福岡県,33.606785,130.418314,女性,40,小型車,事業用,1
2026/05/05,9,7,9時台,福岡県,33.606785,130.418314,男性,20,小型車,事業用,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,女性,30,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,男性,40,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,女性,60,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,男性,40,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,女性,20,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,女性,20,小型車,自家用車,1
2026/05/05,9,8,9時台,鳥取県,35.503869,134.237672,女性,20,小型車,自家用車,1
2026/05/05,9,10,9時台,兵庫県,34.691279,135.183025,女性,40,小型車,自家用車,1
2026/05/05,9,10,9時台,兵庫県,34.691279,135.183025,男性,20,小型車,自家用車,1
2026/05/05,9,10,9時台,兵庫県,34.691279,135.183025,男性,10,小型車,自家用車,1
2026/05/05,9,12,9時台,福岡県,33.606785,130.418314,男性,40,小型車,自家用車,1
2026/05/05,9,12,9時台,福岡県,33.606785,130.418314,女性,30,小型車,自家用車,1
2026/05/05,9,14,9時台,佐賀県,33.249367,130.298822,男性,70,トラック,自家用車,1
