作成日時,到着時間,分,都道府県,lat,long,性別,年代,車種,用途名,No.
2025/5/5,8,42,佐賀県,33.249367,130.298822,男性,50,小型車,自家用車,1
2025/5/5,9,0,佐賀県,33.249367,130.298822,女性,30,普通車,自家用車,1
2025/5/5,9,0,佐賀県,33.249367,130.298822,男性,50,普通車,自家用車,1
2025/5/5,9,0,佐賀県,33.249367,130.298822,男性,30,普通車,自家用車,1
2025/5/5,9,4,佐賀県,33.249367,130.298822,男性,60,小型車,自家用車,1
2025/5/5,9,4,佐賀県,33.249367,130.298822,女性,50,小型車,自家用車,1
2025/5/5,9,6,福岡県,33.606785,130.418314,男性,20,小型車,レンタカー,1
2025/5/5,9,6,福岡県,33.606785,130.418314,女性,30,小型車,レンタカー,1
2025/5/5,9,6,福岡県,33.606785,130.418314,女性,10,小型車,レンタカー,1
2025/5/5,9,7,岐阜県,35.391227,136.722291,女性,20,普通車,自家用車,1
2025/5/5,9,7,岐阜県,35.391227,136.722291,男性,70,普通車,自家用車,1
2025/5/5,9,7,岐阜県,35.391227,136.722291,女性,50,普通車,自家用車,1
2025/5/5,9,8,島根県,35.472297,133.050499,男性,50,小型車,自家用車,1
2025/5/5,9,8,島根県,35.472297,133.050499,女性,30,小型車,自家用車,1
2025/5/5,9,11,福岡県,33.606785,130.418314,女性,30,普通車,自家用車,1
2025/5/5,9,11,福岡県,33.606785,130.418314,男性,40,普通車,自家用車,1
2025/5/5,9,11,福岡県,33.606785,130.418314,男性,60,普通車,自家用車,1
2025/5/5,9,16,福岡県,33.606785,130.418314,男性,50,小型車,自家用車,1
2025/5/5,9,17,兵庫県,34.691279,135.183025,女性,30,普通車,自家用車,1
2025/5/5,9,17,兵庫県,34.691279,135.183025,男性,10,普通車,自家用車,1
2025/5/5,9,17,兵庫県,34.691279,135.183025,女性,20,普通車,自家用車,1
2025/5/5,9,17,兵庫県,34.691279,135.183025,男性,30,普通車,自家用車,1
2025/5/5,9,21,福岡県,33.606785,130.418314,女性,30,普通車,自家用車,1
2025/5/5,9,21,福岡県,33.606785,130.418314,男性,40,普通車,自家用車,1
2025/5/5,9,21,福岡県,33.606785,130.418314,女性,10,普通車,自家用車,1
2025/5/5,9,22,福岡県,33.606785,130.418314,女性,20,軽トラック,レンタカー,1
2025/5/5,9,23,福岡県,33.606785,130.418314,女性,20,普通車,レンタカー,1
2025/5/5,9,23,福岡県,33.606785,130.418314,女性,40,普通車,レンタカー,1
2025/5/5,9,23,福岡県,33.606785,130.418314,男性,40,普通車,レンタカー,1
2025/5/5,9,24,福岡県,33.606785,130.418314,女性,20,普通車,自家用車,1
2025/5/5,9,24,福岡県,33.606785,130.418314,男性,50,普通車,自家用車,1
2025/5/5,9,24,福岡県,33.606785,130.418314,女性,60,普通車,自家用車,1
2025/5/5,9,24,福岡県,33.606785,130.418314,男性,20,普通車,自家用車,1
2025/5/5,9,26,大分県,33.238194,131.612591,女性,20,普通車,自家用車,1
2025/5/5,9,29,佐賀県,33.249367,130.298822,女性,30,トラック,自家用車,1
2025/5/5,9,29,佐賀県,33.249367,130.298822,男性,60,トラック,自家用車,1
2025/5/5,9,30,福岡県,33.606785,130.418314,女性,30,小型車,レンタカー,1
2025/5/5,9,33,佐賀県,33.249367,130.298822,女性,20,小型車,自家用車,1
2025/5/5,9,33,佐賀県,33.249367,130.298822,女性,20,小型車,自家用車,1
2025/5/5,9,33,佐賀県,33.249367,130.298822,女性,30,小型車,自家用車,1
2025/5/5,9,33,佐賀県,33.249367,130.298822,女性,30,小型車,自家用車,1
2025/5/5,9,34,長崎県,32.744839,129.873756,女性,40,普通車,自家用車,1
2025/5/5,9,34,長崎県,32.744839,129.873756,男性,40,普通車,自家用車,1
2025/5/5,9,34,長崎県,32.744839,129.873756,女性,20,普通車,自家用車,1
2025/5/5,9,37,大分県,33.238194,131.612591,男性,30,小型車,自家用車,1
2025/5/5,9,37,大分県,33.238194,131.612591,男性,0,小型車,自家用車,1
2025/5/5,9,38,長崎県,32.744839,129.873756,女性,30,小型車,自家用車,1
2025/5/5,9,38,長崎県,32.744839,129.873756,男性,70,小型車,自家用車,1
2025/5/5,9,38,長崎県,32.744839,129.873756,女性,30,小型車,自家用車,1
2025/5/5,9,39,長崎県,32.744839,129.873756,男性,20,小型車,自家用車,1
